,adc,jg,mid,supp,top,win
761,429,32,268,12,19,False
762,498,141,134,412,6,True
763,81,5,131,37,57,False
764,222,254,157,412,421,True
765,222,141,157,267,11,False
766,22,107,245,267,164,False
767,29,33,90,53,78,True
768,96,59,157,117,79,False
769,222,121,238,412,31,True
770,22,427,90,53,141,False
771,15,79,238,37,92,False
772,110,59,131,16,164,True
773,67,79,105,117,59,False
774,119,19,38,267,92,True
775,96,64,61,25,41,True
776,15,64,268,201,122,False
777,18,19,115,35,39,True
778,110,33,238,1,114,True
779,119,79,3,53,59,True
780,498,59,61,497,58,True
781,51,19,34,16,48,False
782,222,141,1,37,86,True
783,498,60,7,40,23,False
784,18,31,45,117,122,True
785,498,141,61,37,420,False
786,202,79,45,37,157,False
787,22,19,1,412,36,True
788,222,57,103,63,39,True
789,236,48,79,412,6,False
790,22,19,45,497,80,True
791,15,9,7,25,24,False
792,21,154,61,40,59,False
793,18,60,103,53,62,True
794,202,254,163,40,420,True
795,18,59,55,89,23,False
796,21,28,74,37,6,False
797,51,64,1,99,79,True
798,67,11,236,267,57,True
799,119,254,4,412,75,False
800,18,141,61,57,59,False
801,42,102,13,412,24,False
802,498,19,134,40,91,True
803,119,19,34,420,133,False
804,222,62,84,89,266,True
805,29,56,103,117,157,True
806,236,141,126,412,84,False
807,429,32,42,16,68,True
808,429,48,8,497,58,True
809,498,19,18,43,75,False
810,110,64,61,89,105,True
811,81,516,105,412,75,True
812,110,121,112,63,17,False
813,429,28,238,37,58,False
814,18,254,55,40,17,True
815,222,28,85,111,59,True
816,29,266,238,412,164,False
817,18,102,90,267,23,True
818,67,28,105,53,98,True
819,222,64,161,89,114,False
820,29,121,161,497,17,True
821,67,19,1,63,23,False
822,29,11,1,516,3,True
823,119,77,69,89,31,False
824,18,120,99,14,68,False
825,21,31,238,89,240,True
826,18,17,50,37,36,False
827,429,19,41,40,54,True
828,202,62,131,44,17,False
829,236,141,134,99,86,True
830,236,79,105,37,516,False
831,81,141,103,40,17,True
832,236,60,268,111,157,True
833,202,104,90,143,150,False
834,222,24,45,201,59,True
835,22,20,63,57,17,False
836,18,141,161,3,23,True
837,18,62,134,516,27,False
838,96,72,161,40,122,True
839,498,24,1,89,150,True
840,15,59,61,201,58,False
841,15,266,61,16,516,False
842,67,24,143,117,92,True
843,498,141,25,497,14,True
844,51,113,238,267,1,False
845,429,35,34,143,114,True
846,119,80,103,432,516,False
847,29,48,90,12,157,True
848,67,19,15,432,31,False
849,18,24,115,33,92,True
850,202,57,99,412,516,False
851,29,60,4,267,516,True
852,18,76,238,432,126,False
853,29,79,42,14,36,False
854,202,5,61,17,58,True
855,202,36,91,25,254,False
856,67,77,61,117,92,True
857,498,19,45,12,23,False
858,22,80,90,53,164,True
859,133,19,90,10,240,False
860,22,64,63,40,3,True
861,96,79,157,117,67,True
862,51,59,103,3,41,False
863,21,102,245,45,98,False
864,202,64,238,40,150,True
865,236,79,61,201,23,True
866,29,81,157,53,150,False
867,18,62,81,12,27,True
868,498,154,84,201,126,False
869,236,203,61,53,41,False
870,21,121,103,25,2,True
871,498,516,34,48,114,True
872,81,19,42,40,122,False
873,5,64,81,432,56,True
874,202,131,91,99,23,False
875,67,5,161,89,157,True
876,21,102,115,37,58,False
877,51,120,69,45,157,True
878,18,64,134,111,6,False
879,81,2,34,89,41,True
880,67,5,34,40,420,False
881,236,106,131,497,157,True
882,202,141,268,117,516,True
883,67,64,91,16,85,False
884,29,78,115,17,23,True
885,18,106,85,16,41,True
886,202,64,103,412,57,False
887,18,19,1,25,11,True
888,202,3,4,45,23,False
889,104,19,90,63,27,False
890,67,57,134,117,164,True
891,21,121,157,223,78,True
892,202,106,99,25,62,False
893,22,154,1,25,133,False
894,96,64,63,412,54,True
895,222,64,45,25,57,True
896,21,32,90,1,150,False
897,29,106,245,63,68,True
898,18,62,105,267,75,False
899,202,79,90,143,31,False
900,67,154,69,412,58,True
901,81,32,1,12,80,False
902,67,141,103,117,48,True
903,202,57,91,17,86,False
904,18,31,69,412,92,True
905,67,154,99,40,27,True
906,202,141,45,89,86,True
907,29,54,103,117,157,False
908,21,67,61,37,111,False
909,96,10,50,201,58,True
910,21,141,1,98,236,True
911,81,254,61,432,157,False
912,29,102,238,53,39,True
913,67,141,157,99,17,False
914,29,24,115,40,57,False
915,498,19,161,143,27,True
916,18,80,55,40,24,True
917,51,56,26,63,75,False
918,96,19,45,16,75,True
919,21,79,90,267,58,False
920,18,64,4,40,32,False
921,67,33,8,267,133,True
922,67,141,245,26,114,True
923,498,11,163,497,58,False
924,81,121,115,111,114,True
925,29,5,101,44,75,False
926,67,11,74,25,39,False
927,21,33,115,111,75,True
928,51,33,61,37,24,True
929,67,2,103,117,86,False
930,29,4,105,16,54,False
931,67,11,136,63,80,True
932,67,121,61,161,85,True
